province,dam,river,fsc,region
Free State,Gariep Dam,Orange River,5196.1,
Free State,Vanderkloof Dam,Orange River,3171.3,
Free State,Sterkfontein Dam,Nuwejaarspruit River,2617,
Free State,Vaal Dam,Vaal River,2603.5,
KwaZulu-Natal,Pongolapoort Dam,Phongolo River,2267.1,
Lesotho,Katse Dam,Malibamatso River,1519.2,
Free State,Bloemhof Dam,Vaal River,1240.3,
Lesotho,Mohale Dam,Senqunyane River,857.2,
Western Cape,Theewaterskloof Dam,Riviersonderend River,479.3,
Mpumalanga,Heyshope Dam,Assegaai River,445,
KwaZulu-Natal,Woodstock Dam,Tugela River,373.3,
Mpumalanga,Loskop Dam,Olifants River,361.6,
Mpumalanga,Grootdraai Dam,Vaal River,349.6,
Limpopo,De Hoop Dam,Steelpoort River,348.7,
Free State,Kalkfontein Dam,Riet River,325.2,
KwaZulu-Natal,Goedertrouw Dam,Mhlatuze River,301.3,
KwaZulu-Natal,Albert Falls Dam,Mgeni River,288.2,
Western Cape,Brandvlei Dam,Lower Brandvlei River,286.1,
KwaZulu-Natal,Spioenkop Dam,Tugela River,270.7,
Mpumalanga,Driekoppies Dam,Lomati River,251,
Eastern Cape,Umtata Dam,Mtata River,244.7,
KwaZulu-Natal,Inanda Dam,Mgeni River,237.5,
KwaZulu-Natal,Midmar Dam,Mgeni River,235.5,
Free State,Erfenis Dam,Groot-Vet River,206.1,
Mpumalanga,Rhenosterkop Dam,Elands River,204.6,
North West,Molatedi Dam,Groot-Marico River,200.8,
KwaZulu-Natal,Ntshingwayo Dam,Ngagane River,194.6,
North West,Hartbeespoort Dam,Krokodil River,186.5,
Limpopo,Flag Boshielo Dam,Olifants River,185.2,
KwaZulu-Natal,Zaaihoek Dam,Slang River,184.7,
